start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,133,Female,Charles Circle - Charles St. at Cambridge St.,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Boston,Cambridge
July-13,5,,B.U. Central - 725 Comm. Ave.,Northeastern U / North Parking Lot,Boston,Boston
July-13,90,Female,MIT Stata Center at Vassar St / Main St,Lechmere Station at Cambridge St / First St,Cambridge,Cambridge
July-13,132,Female,MIT Stata Center at Vassar St / Main St,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,Cambridge
July-13,114,,Faneuil Hall - Union St. at North St.,TD Garden - Causeway at Portal Park #1,Boston,Boston
July-13,50,,MIT at Mass Ave / Amherst St,Boylston St / Berkeley St,Cambridge,Boston
July-13,16,Male,MIT Stata Center at Vassar St / Main St,Back Bay / South End Station,Cambridge,Boston
July-13,50,,MIT at Mass Ave / Amherst St,Boylston St / Berkeley St,Cambridge,Boston
July-13,42,,Faneuil Hall - Union St. at North St.,Boylston St. at Arlington St.,Boston,Boston
July-13,22,Male,Congress / Sleeper,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,42,,Faneuil Hall - Union St. at North St.,Boylston St. at Arlington St.,Boston,Boston
July-13,115,Male,Charlestown - Main St at Austin St,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,Boston
July-13,74,Female,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Harvard Square at Mass Ave/ Dunster,Boston,Cambridge
July-13,50,,MIT at Mass Ave / Amherst St,Boylston St / Berkeley St,Cambridge,Boston
July-13,88,Male,Beacon St at Washington / Kirkland,Inman Square at Vellucci Plaza / Hampshire St,Somerville,Cambridge
July-13,50,,MIT at Mass Ave / Amherst St,Boylston St / Berkeley St,Cambridge,Boston
July-13,50,Male,Prudential Center / Belvidere,Boylston St / Berkeley St,Boston,Boston
July-13,53,Male,Washington St. at Rutland St.,Beacon St / Mass Ave,Boston,Boston
July-13,22,Male,Boylston St / Washington St,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,45,Male,MIT at Mass Ave / Amherst St,Yawkey Way at Boylston St.,Cambridge,Boston
July-13,74,Male,Porter Square Station,Harvard Square at Mass Ave/ Dunster,Cambridge,Cambridge
July-13,91,Male,Harvard Real Estate - 219 Western Ave. at North Harvard St.,One Kendall Square at Hampshire St / Portland St,Boston,Cambridge
July-13,88,Female,The Esplanade - Beacon St. at Arlington St.,Inman Square at Vellucci Plaza / Hampshire St,Boston,Cambridge
July-13,66,,B.U. Central - 725 Comm. Ave.,Allston Green District - Commonwealth Ave & Griggs St,Boston,Boston
July-13,102,Male,Back Bay / South End Station,Boston Medical Center -  East Concord at Harrison Ave,Boston,Boston
July-13,66,,B.U. Central - 725 Comm. Ave.,Allston Green District - Commonwealth Ave & Griggs St,Boston,Boston
July-13,20,Female,Landmark Centre,Aquarium Station - 200 Atlantic Ave.,Boston,Boston
July-13,22,Male,Franklin St. / Arch St.,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,74,Male,MIT Stata Center at Vassar St / Main St,Harvard Square at Mass Ave/ Dunster,Cambridge,Cambridge
July-13,69,Male,Harvard Square at Mass Ave/ Dunster,Coolidge Corner - Beacon St @ Centre St,Cambridge,Brookline
July-13,32,Male,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Landmark Centre,Boston,Boston
July-13,84,Female,Lafayette Square at Mass Ave / Main St / Columbia St,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,Cambridge
July-13,7,Male,Cross St. at Hanover St.,Fan Pier,Boston,Boston
July-13,55,,Roxbury Crossing Station,Boylston / Mass Ave,Boston,Boston
July-13,114,Male,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,TD Garden - Causeway at Portal Park #1,Boston,Boston
July-13,5,Female,Buswell Park,Northeastern U / North Parking Lot,Boston,Boston
July-13,58,Male,Charlestown - Warren St at Chelsea St,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,102,Male,Colleges of the Fenway,Boston Medical Center -  East Concord at Harrison Ave,Boston,Boston
July-13,52,Female,Mayor Thomas M. Menino - Government Center,Newbury St / Hereford St,Boston,Boston
July-13,78,Male,Porter Square Station,Union Square - Somerville,Cambridge,Somerville
July-13,6,Female,Chinatown Gate Plaza - Surface Rd. at Beach St.,Cambridge St. at Joy St.,Boston,Boston
July-13,69,,Post Office Square,Coolidge Corner - Beacon St @ Centre St,Boston,Brookline
July-13,88,Male,Boylston / Mass Ave,Inman Square at Vellucci Plaza / Hampshire St,Boston,Cambridge
July-13,44,Female,Charles Circle - Charles St. at Cambridge St.,Faneuil Hall - Union St. at North St.,Boston,Boston
July-13,47,,Cross St. at Hanover St.,Cross St. at Hanover St.,Boston,Boston
July-13,22,Male,Charles Circle - Charles St. at Cambridge St.,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,47,,Cross St. at Hanover St.,Cross St. at Hanover St.,Boston,Boston
July-13,25,Female,Longwood Ave / Binney St,Tremont St / W Newton St,Boston,Boston
July-13,139,Male,Inman Square at Vellucci Plaza / Hampshire St,Davis Square,Cambridge,Somerville
July-13,42,Male,Franklin St. / Arch St.,Boylston St. at Arlington St.,Boston,Boston
July-13,41,Male,Beacon St / Mass Ave,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,Boston
July-13,84,Female,Cambridge Main Library at Broadway / Trowbridge St,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,Cambridge
July-13,95,Male,Wilson Square,Cambridge St - at Columbia St / Webster Ave,Somerville,Cambridge
July-13,12,Female,Seaport Hotel,Ruggles Station / Columbus Ave.,Boston,Boston
July-13,114,Male,Aquarium Station - 200 Atlantic Ave.,TD Garden - Causeway at Portal Park #1,Boston,Boston
